--------------
ALTER TABLE EMPREGADOS ADD COLUMN SITUACAO VARCHAR(1)
--------------

--------------
UPDATE
    EMPREGADOS
SET
    SITUACAO = 'A'
--------------

--------------
UPDATE
    EMPREGADOS
SET
    SITUACAO = 'D'
WHERE
       EMPREGADO_ID = 105
    or EMPREGADO_ID = 107
    or EMPREGADO_ID = 163
    or EMPREGADO_ID = 165
--------------

--------------
SELECT
    *
FROM
    EMPREGADOS
WHERE
    SITUACAO = 'A'
--------------

+--------------+---------------+-------------+------------+--------------------+------------------+------------+-------------------+--------------+------------+-----------------+----------+
| EMPREGADO_ID | PRIMEIRO_NOME | ULTIMO_NOME | EMAIL      | TELEFONE           | DATA_CONTRATACAO | FUNCAO_ID  | SALARIO           | PCT_COMISSAO | GERENTE_ID | DEPARTAMENTO_ID | SITUACAO |
|          124 | Kevin         | Mourgos     | KMOURGOS   | 650.123.5234       | 2007-11-16       | ST_MAN     |              5800 |         NULL |        100 |              50 | A        |
|          125 | Julia         | Nayer       | JNAYER     | 650.124.1214       | 2020-05-27       | ST_CLERK   |              3200 |         NULL |        120 |              50 | A        |
|          126 | Irene         | Mikkilineni | IMIKKILI   | 650.124.1224       | 2006-09-28       | ST_CLERK   |              2700 |         NULL |        120 |              50 | A        |
|          127 | James         | Landry      | JLANDRY    | 650.124.1334       | 2020-05-27       | ST_CLERK   |              2400 |         NULL |        120 |              50 | A        |
|          128 | Steven        | Markle      | SMARKLE    | 650.124.1434       | 2020-05-27       | ST_CLERK   |              2200 |         NULL |        120 |              50 | A        |
|          129 | Laura         | Bissot      | LBISSOT    | 650.124.5234       | 2005-08-20       | ST_CLERK   |              3300 |         NULL |        121 |              50 | A        |
|          130 | Moises        | Atkinson    | MATKINSO   | 650.124.6234       | 2005-10-30       | ST_CLERK   |              2800 |         NULL |        121 |              50 | A        |
|          131 | James         | Marlow      | JAMRLOW    | 650.124.7234       | 2005-02-16       | ST_CLERK   |              2500 |         NULL |        121 |              50 | A        |
|          132 | Tiago         | Olson       | TJOLSON    | 650.124.8234       | 2007-04-10       | ST_CLERK   |              2100 |         NULL |        121 |              50 | A        |
|          133 | Jason         | Mallin      | JMALLIN    | 650.127.1934       | 2004-06-14       | ST_CLERK   |              3300 |         NULL |        122 |              50 | A        |
|          134 | Michael       | Rogers      | MROGERS    | 650.127.1834       | 2006-08-26       | ST_CLERK   |              2900 |         NULL |        122 |              50 | A        |
|          135 | Kevin         | Gee         | KGEE       | 650.127.1734       | 2007-12-12       | ST_CLERK   |              2400 |         NULL |        122 |              50 | A        |
|          136 | Artur         | Philtanker  | APHILTAN   | 650.127.1634       | 2008-02-06       | ST_CLERK   |              2200 |         NULL |        122 |              50 | A        |
|          137 | Rodrigo       | Ladwig      | RLADWIG    | 650.121.1234       | 2003-07-14       | ST_CLERK   |              3600 |         NULL |        123 |              50 | A        |
|          138 | Sara          | Stiles      | SSTILES    | 650.121.2034       | 2005-10-26       | ST_CLERK   |              3200 |         NULL |        123 |              50 | A        |
|          139 | John          | Seo         | JSEO       | 650.121.2019       | 2005-10-26       | ST_CLERK   |              2700 |         NULL |        123 |              50 | A        |
|          140 | José          | Patel       | JPATEL     | 650.121.1834       | 2006-04-06       | ST_CLERK   |              2500 |         NULL |        123 |              50 | A        |
|          141 | Tonia         | Rajs        | TRAJS      | 650.121.8009       | 2003-10-17       | ST_CLERK   |              3500 |         NULL |        124 |              50 | A        |
|          142 | Carlos        | Davies      | CDAVIES    | 650.121.2994       | 2005-01-29       | ST_CLERK   |              3100 |         NULL |        124 |              50 | A        |
|          143 | Rodrigo       | Matos       | RMATOS     | 650.121.2874       | 2020-05-27       | ST_CLERK   |              2600 |         NULL |        124 |              50 | A        |
|          144 | Peter         | Vargas      | PVARGAS    | 650.121.2004       | 2006-07-09       | ST_CLERK   |              2500 |         NULL |        124 |              50 | A        |
|          145 | John          | Russell     | JRUSSEL    | 011.44.1344.429268 | 2004-10-01       | SA_MAN     |             14000 |          0.4 |        100 |              80 | A        |
|          146 | Karen         | Partners    | KPARTNER   | 011.44.1344.467268 | 2005-05-05       | SA_MAN     |             13500 |          0.3 |        100 |              80 | A        |
|          147 | Alberto       | Errazuriz   | AERRAZUR   | 011.44.1344.429278 | 2005-03-10       | SA_MAN     |              1000 |          0.3 |        100 |              80 | A        |
|          148 | Geraldo       | Cambrault   | GCAMBRAU   | 011.44.1344.619268 | 2007-10-15       | SA_MAN     |             11000 |          0.3 |        100 |              80 | A        |
|          149 | Eleni         | Zlotkey     | EZLOTKEY   | 011.44.1344.429018 | 2008-01-29       | SA_MAN     |             10500 |          0.2 |        100 |              80 | A        |
|          150 | Peter         | Tucker      | PTUCKER    | 011.44.1344.129268 | 2005-01-30       | SA_REP     |             10000 |          0.3 |        145 |              80 | A        |
|          151 | David         | Bernstein   | DBERNSTE   | 011.44.1344.345268 | 2005-03-24       | SA_REP     |              9500 |         0.25 |        145 |              80 | A        |
|          152 | Peter         | Hall        | PHALL      | 011.44.1344.478968 | 2005-08-20       | SA_REP     |              9000 |         0.25 |        145 |              80 | A        |
|          153 | Christopher   | Olsen       | COLSEN     | 011.44.1344.498718 | 2006-03-30       | SA_REP     |              8000 |          0.2 |        145 |              80 | A        |
|          154 | Noeli         | Cambrault   | NCAMBRAU   | 011.44.1344.987668 | 2006-12-09       | SA_REP     |              7500 |          0.2 |        145 |              80 | A        |
|          155 | Oliver        | Tuvault     | OTUVAULT   | 011.44.1344.486508 | 2007-11-23       | SA_REP     |              7000 |         0.15 |        145 |              80 | A        |
|          156 | Janete        | King        | JKING      | 011.44.1345.429268 | 2004-01-30       | SA_REP     |             10000 |         0.35 |        146 |              80 | A        |
|          157 | Patrick       | Sully       | PSULLY     | 011.44.1345.929268 | 2004-03-04       | SA_REP     |              9500 |         0.35 |        146 |              80 | A        |
|          158 | Allan         | McEwen      | AMCEWEN    | 011.44.1345.829268 | 2004-08-01       | SA_REP     |              9000 |         0.35 |        146 |              80 | A        |
|          159 | Lindsey       | Smith       | LSMITH     | 011.44.1345.729268 | 2005-03-10       | SA_REP     |              8000 |          0.3 |        146 |              80 | A        |
|          160 | Louise        | Doran       | LDORAN     | 011.44.1345.629268 | 2005-12-15       | SA_REP     |              7500 |          0.3 |        146 |              80 | A        |
|          161 | Sara          | Sewall      | SSEWALL    | 011.44.1345.529268 | 2006-11-03       | SA_REP     |              7000 |         0.25 |        146 |              80 | A        |
|          162 | Clara         | Vishney     | CVISHNEY   | 011.44.1346.129268 | 2005-11-11       | SA_REP     |             10500 |         0.25 |        147 |              80 | A        |
|          164 | Marta         | Marvins     | MMARVINS   | 011.44.1346.329268 | 2008-01-03       | SA_REP     |              7200 |          0.1 |        147 |              80 | A        |
|          166 | Sonia         | Ande        | SANDE      | 011.44.1346.629268 | 2008-03-24       | SA_REP     |              6400 |          0.1 |        147 |              80 | A        |
|          167 | Almir         | Banda       | ABANDA     | 011.44.1346.729268 | 2008-04-21       | SA_REP     |              6200 |          0.1 |        147 |              80 | A        |
|          168 | Lisa          | Ozer        | LOZER      | 011.44.1343.929268 | 2005-03-11       | SA_REP     |             11500 |         0.25 |        148 |              80 | A        |
|          169 | Harrison      | Bloom       | HBLOOM     | 011.44.1343.829268 | 2006-03-23       | SA_REP     |             10000 |          0.2 |        148 |              80 | A        |
|          170 | Tiago         | Fox         | TFOX       | 011.44.1343.729268 | 2006-01-24       | SA_REP     |              9600 |          0.2 |        148 |              80 | A        |
|          171 | William       | Smith       | WSMITH     | 011.44.1343.629268 | 2007-02-23       | SA_REP     |              7400 |         0.15 |        148 |              80 | A        |
|          172 | Elizabeth     | Bates       | EBATES     | 011.44.1343.529268 | 2007-03-24       | SA_REP     |              7300 |         0.15 |        148 |              80 | A        |
|          173 | Sandro        | Kumar       | SKUMAR     | 011.44.1343.329268 | 2008-04-21       | SA_REP     |              6100 |          0.1 |        148 |              80 | A        |
|          174 | Ellen         | Abel        | EABEL      | 011.44.1644.429267 | 2004-05-11       | SA_REP     |             11000 |          0.3 |        149 |              80 | A        |
|          175 | Amanda        | Hutton      | AHUTTON    | 011.44.1644.429266 | 2005-03-19       | SA_REP     |              8800 |         0.25 |        149 |              80 | A        |
|          176 | John          | Taylor      | JTAYLOR    | 011.44.1644.429265 | 2006-03-24       | SA_REP     |              8600 |          0.2 |        149 |              80 | A        |
|          177 | Jack          | Livingston  | JLIVINGS   | 011.44.1644.429264 | 2006-04-23       | SA_REP     |              8400 |          0.2 |        149 |              80 | A        |
|          178 | Kimberely     | Grant       | KGRANT     | 011.44.1644.429263 | 2007-05-24       | SA_REP     |              7000 |         0.15 |        149 |            NULL | A        |
|          179 | Charles       | Johnson     | CJOHNSON   | 011.44.1644.429262 | 2008-01-05       | SA_REP     |              6200 |          0.1 |        149 |              80 | A        |
|          180 | William       | Taylor      | WTAYLOR    | 650.507.9876       | 2006-01-24       | SH_CLERK   |              3200 |         NULL |        120 |              50 | A        |
|          181 | Jean          | Fleaur      | JFLEAUR    | 650.507.9877       | 2020-05-27       | SH_CLERK   |              3100 |         NULL |        120 |              50 | A        |
|          182 | Marta         | Sullivan    | MSULLIVA   | 650.507.9878       | 2007-06-21       | SH_CLERK   |              2500 |         NULL |        120 |              50 | A        |
|          183 | Girard        | Geoni       | GGEONI     | 650.507.9879       | 2008-02-03       | SH_CLERK   |              2800 |         NULL |        120 |              50 | A        |
|          184 | Nanda         | Sarchand    | NSARCHAN   | 650.509.1876       | 2004-01-27       | SH_CLERK   |              4200 |         NULL |        121 |              50 | A        |
|          185 | Alex          | Bull        | ABULL      | 650.509.2876       | 2005-02-20       | SH_CLERK   |              4100 |         NULL |        121 |              50 | A        |
|          186 | Julia         | Dellinger   | JDELLING   | 650.509.3876       | 2006-06-24       | SH_CLERK   |              3400 |         NULL |        121 |              50 | A        |
|          187 | Antony        | Cabrio      | ACABRIO    | 650.509.4876       | 2005-10-26       | SH_CLERK   |              3000 |         NULL |        121 |              50 | A        |
|          188 | Kelly         | Chung       | KCHUNG     | 650.505.1876       | 2005-06-14       | SH_CLERK   |              3800 |         NULL |        122 |              50 | A        |
|          189 | Jennifer      | Dilly       | JDILLY     | 650.505.2876       | 2005-08-13       | SH_CLERK   |              3600 |         NULL |        122 |              50 | A        |
|          190 | Timotio       | Gates       | TGATES     | 650.505.3876       | 2006-07-11       | SH_CLERK   |              2900 |         NULL |        122 |              50 | A        |
|          191 | Rafael        | Perkins     | RPERKINS   | 650.505.4876       | 2007-12-19       | SH_CLERK   |              2500 |         NULL |        122 |              50 | A        |
|          192 | Sarah         | Bell        | SBELL      | 650.501.1876       | 2004-02-04       | SH_CLERK   |              4000 |         NULL |        123 |              50 | A        |
|          193 | Britney       | Everett     | BEVERETT   | 650.501.2876       | 2005-03-03       | SH_CLERK   |              3900 |         NULL |        123 |              50 | A        |
|          194 | Samuel        | McCain      | SMCCAIN    | 650.501.3876       | 2006-07-01       | SH_CLERK   |              3200 |         NULL |        123 |              50 | A        |
|          195 | Vando         | Jones       | VJONES     | 650.501.4876       | 2007-03-17       | SH_CLERK   |              2800 |         NULL |        123 |              50 | A        |
|          196 | Alana         | Walsh       | AWALSH     | 650.507.9811       | 2006-04-24       | SH_CLERK   |              3100 |         NULL |        124 |              50 | A        |
|          197 | Kevin         | Feeney      | KFEENEY    | 650.507.9822       | 2006-05-23       | SH_CLERK   |              3000 |         NULL |        124 |              50 | A        |
|          198 | Donald        | OConnell    | DOCONNEL   | 650.507.9833       | 2007-06-21       | SH_CLERK   |              2600 |         NULL |        124 |              50 | A        |
|          199 | Douglas       | Grant       | DGRANT     | 650.507.9844       | 2008-01-13       | SH_CLERK   |              2600 |         NULL |        124 |              50 | A        |
|          200 | Jennifer      | Whalen      | JWHALEN    | 515.123.4444       | 2003-09-17       | AD_ASST    |              4400 |         NULL |        101 |              10 | A        |
|          201 | Michael       | Hartstein   | MHARTSTE   | 515.123.5555       | 2004-02-17       | MK_MAN     |             13000 |         NULL |        100 |              20 | A        |
|          202 | Patricia      | Fay         | PFAY       | 603.123.6666       | 2005-08-17       | MK_REP     |              6000 |         NULL |        201 |              20 | A        |
|          203 | Susana        | Mavris      | SMAVRIS    | 515.123.7777       | 2002-06-07       | HR_REP     |              6500 |         NULL |        101 |              40 | A        |
|          204 | Hermann       | Baer        | HBAER      | 515.123.8888       | 2002-06-07       | PR_REP     |             10000 |         NULL |        101 |              70 | A        |
|          205 | Shelle        | Higgins     | SHIGGINS   | 515.123.8080       | 2002-06-07       | AC_MGR     |              1000 |         NULL |        101 |             110 | A        |
|          206 | William       | Gietz       | WGIETZ     | 515.123.8181       | 2002-06-07       | AC_ACCOUNT |              8300 |         NULL |        205 |             110 | A        |
+--------------+---------------+-------------+------------+--------------------+------------------+------------+-------------------+--------------+------------+-----------------+----------+
